srcid	srclemma	tgtid	tgtlemma	tgtgram	concept_PfWb
PE01315	Elfuhr-messe	EM01217	Elferm&#x00eb;ss		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk
PF01305	ver-dr&#x00fc;cken	ET01967	verdr&#x00fc;cken		Trinken.Alkohol_trinken
PF01444	Vergi&#x00df;-mein-nicht	EG00964	Vergissmeinnichtel		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
PF01749	ver-k&#x00fc;mmeln	EK00522	verk&#x00fc;mmlen		Trinken.Alkohol_trinken
PF01791	ver-lechen	EL00173	verl&#x00eb;chen		Durst
PF02140	ver-salzen	ES00779	versalzen		Trinken.Alkohol_trinken
PF02146	ver-saufen	ES00287	versufen		Trinken.Alkohol_trinken
PF02235	ver-schmieren	ES03178	verschmieren		Trinken.Alkohol_trinken
PF02311	ver-schwinden	ES03912	verschwinden		Trinken.Alkohol_trinken
PF02350	ver-sohlen	ES00719	versohlen		Trinken.Alkohol_trinken
PF05503	Fr&#x00fc;h-messe	EM01218	Fr&#x00fc;ehm&#x00eb;ss		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk
PF05529	Fuchs	EF00066	Fuchs		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PF05806	Fusel	EF00900	Fusel		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PG00355	G&#x00e4;nse-wein	EW00688	G&#x00e4;nswin		Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
PG01375	Gei&#x00df;(en)-milch	EM00571	Geisenmilch		Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
PG01529	Ge-l&#x00e4;pper	EL01065	Gel&#x00e4;pper(s)		Trinken.Hohe_Frequenz_Dauer
PG03154	Glas	EG01382	Glas		Getränk
PG03401	gluckeln	EG01346	glunkelen		Trinken.Alkohol_trinken
PG03410	gluckern	EG01325	gluckeren		Trinken.Schnell_große_Mengen_trinken
PG03417	glucksen	EG01434	gluxen		Trinken.Schnell_große_Mengen_trinken;Trinken.Geräuschvoll_trinken
PG03529	Gocko	EG00293	Gogo		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
PG04443	Grundbirn(en)-branntwein	EW00690	Grumbirenbr&#x00eb;nntewin		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
PG04745	G&#x00fc;ckes	EG00282	Giges, Gigs		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PH01966	heben	EH00068	heben		Trinken.Alkohol_trinken
PH05861	Hochzeit(s)-wein	EZ00579	Hochzit		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PJ00101	Jakob	EJ00093	Jakob, Jobek, Jokeb, Schakob		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PK00043	Kaffee	EK00182	Kaffee, Kaffi		Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffeeersatz
PK00062	Kaffee-geschlapper	ES02507	Kaffeeschlabber		Trinken
PK00762	Karst	EK01131	Karst		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
PK02285	Kirsch(en)-wasser	EW01168	Kirsenwasser		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
PK02440	kl&#x00e4;ppern	EK01635	klepperen		Trinken.Alkohol_trinken
PK03365	Kn&#x00fc;rbel	EK01930	Knorpel		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
PK03477	Knupper	EK01879	Knupp(er		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PK04001	k&#x00f6;pfen	EK00910	k&#x00f6;pfen		Trinken.Alkohol_trinken;Trinken.Austrinken
PK04340	Krabbel-an-der-Wand	EK02026	Kr&#x00e4;bel		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
PK05774	K&#x00fc;mmel	EK00518	K&#x00fc;mmel, K&#x00fc;mmich, K&#x00fc;mmin		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
PL00111	laden	EL00339	laden		Trinken.Alkohol_trinken
PL00160	Lage	EL00547	Lage		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk
PL00533	l&#x00e4;ppern	EL01063	l&#x00e4;pperen		Trinken.Langsam_kleine_Mengen_trinken; Trinken.Häufig_lange_trinken
PL00750	L&#x00e4;uer	EL01179	L&#x00fc;r, Lur(e)		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PL01076	ledern	EL00374	l&#x00eb;deren		Trinken
PL01433	Leim(en)-br&#x00fc;he	EP03723	Leimenbr&#x00fc;ej		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PL01896	liefern	EL00526	liferen		Trinken.Alkohol_trinken
