xml:id	Lemma	Wortart	Level	Definition	Konzept
CG00339	Geischt	m.		Weingeist, Alkohol	Getränk
CG00342	Geiwerjoggel	m.		jd. der sich beim Essen oder Trinken verunreinigt	Trinken
CG00583	Ge-scheppels	n.		übermäßiges od. gewohnheitsmäßiges Trinken von Schoppen Bier od. Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier
CG00621	ge-schwatt	adj.		betrunken	Getränk
CG00627	Ge-seffs	n.		Gesöffe, Säuferei, unmäßiges Trinken	Trinken.Alkohol_trinken
CG00688	Ge-supps	n.		Saugen, Geschlürf, schlürfendes Geräusch beim Trinken	Trinken
CG00782	Giges I			schlechter Branntwein, Fusel	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CG00805	Giss	n.		Schwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CG00809	Gize	f.		Wasserläufer	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CG00899	Glugluk	n.		Gluckgluck (Geräusch beim Trinken od. Ausgießen einer Flüssigkeit	Trinken
CG00921	Godrong	m.		Teer	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee
CG00947	Gom	n.	4.	ein süßliches Getränk	Getränk
CG00987	Grächen	m.		neuer Wein; Wein, der gerade trinkbar geworden. G. genannt wegen seiner grauen Farbe	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CG01012	granglich	adj.		weinerlich	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CG01050	Gräwel-wasser	n.		schlechter Branntwein, Fusel	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CG01136	grischen			weinen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CG01140	grittich	adj. u. adv.		gierig, meist vom Essen u. Trinken	Trinken
CG01193	Grumberebrantwein			Kartoffelsprit	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CG01214	grunder-ernscht	adj.		grundernst	Getränk
CH00055	Hake-mann			der Hakemann, der das Kind ins Wasser ziehen möchte	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CH00199	Häns-chen	n.		ein Achtel Liter Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CH00357	Heffen	f.	1.	Weinhefe	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CH00478	Heppen-nas			Krummnase	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CH00808	Hosbendel	n.		Strumpfband	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CH00907	Hundsmilich			Wolfsmilch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
CI00062	in-durren	intr. v.		einschrumpfen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CI00095	in-schlagen	tr. v.		Obst, bes. Zwetschen in ein Faß füllen, um Schnaps herzustellen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CK00026	Kaffeebinz	f.		Kaffeekanne	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
CK00028	Kaffeebrih			schlechter Milchkaffee allg	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
CK00036	Kaffeeseh			Kaffeesieb	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
CK00038	Kaffeetût	f.		Kaffeeschwester	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
CK00024	Kaffee	m.	1.	Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
CK00024	Kaffee	m.	2.	Kaffeehaus	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
CK00044	Kahnen	m.		Kahm, Weinpilz; Schimmel auf Wein, Essig, Tinte u. dgl	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CK00183	Kabestusch	f.		Kohlstrunk	Getränk
CK00237	Käsduch			(K.-dichel) n. leinenes Tuch, in welches die geronnene Milch getan wird, um sie von dem säuerlichen Milchwasser zu trennen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
CK00259	Kassis	m.	2.	Likör, der aus der Frucht derselben zubereitet wird	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CK00319	Kehr	f.		Drehung, Wendung mit Wagen od. Pflug; Umweg, Runde, Reihe	Getränk
CK00343	Keizen	m.	2.	schlechter Wein, Krätzer	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CK00372	Kelterwein			Wein von gekelterten Trauben im Gegensatz zu	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CK00547	Kirsch	f.	2.	Kirschenschnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CK00620	Klam	f.	2.	ein vom Wasser eingerissener tiefer Einschnitt im Felde	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CK00666	Kleiesuffe			warmes Wasser mit K. vermischt als Schweinefutter	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CK00727	klotrn II			herumklettern	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CK00808	Knet-wasser	n.		lauwarmes Wasser zum Teigansetzen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CK00898	Kochwasser			siedendes Wasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CK00969	Truwelkonfitür			Johannisbeersaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft
CK00970	Grischelkonfitür			Stachelbeersaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft
CK00971	Kittekonfitür			Quittensaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft
CK00972	Brembeerekonfitür			Himbeersaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft
CK01024	Koschi	m.	3.	Transportschein für Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CK01060	Kowen-bretchen	m.		Gläschen Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CK01127	Krätz I			Schimmel an Früchten, am Wein usw	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CK01159	kreissen II			herumstrolchen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CK01301	Krotze-mann	m.		Wasserkobold, der die Kinder, die zu nahe ans Wasser gehen, hineinzieht	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CK01392	Kumet I	m.		Komet	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CK01397	Kump	f.	3.	Wassertümpel	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CK01481	Kwall	f.	1.	das Aufwallende des siedenden Wassers; Sprudel	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CK01490	kwatschen	intr. v.	2.	schallnachahmendes Geräusch, das entsteht, wenn man mit Schuhzeug einhergeht, in welches Wasser eingedrungen ist	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CK01494	kwellen		2.	quellen (vom Wasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CK01505	Kwetschwasser			Zwetschenbranntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CL00032	lack	m.		müde, matt, träge von der Hitze u. vom Durst	Durst
CL00043	laden I		2.	viel trinken	Trinken
CL00043	laden I		4.	sich mit Speise u. Trank überladen	Getränk
